Property_Type,Price,Sale_Date,Old_New,Town_City,source_file,Sale_Year,Type_Description,type_label,city_label,Market_Segment,unscaled_price,scaled_features,final_features
F,435000.0,2013-12-16,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[435000.0],[0.2048494580831236],"[0.2048494580831236,0.0]"
F,445000.0,2013-11-21,Y,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[445000.0],[0.21504153978248397],"[0.21504153978248397,0.0]"
S,370000.0,2013-10-11,N,BEXLEY,uk_property_full.csv,2013,Semi-Detached,1.0,647.0,Standard,[370000.0],[0.1386009270372812],"[0.1386009270372812,647.0]"
S,353000.0,2013-12-17,N,HOUNSLOW,uk_property_full.csv,2013,Semi-Detached,1.0,271.0,Standard,[353000.0],[0.12127438814836855],"[0.12127438814836855,271.0]"
T,314000.0,2013-03-28,N,HARROW,uk_property_full.csv,2013,Terraced,0.0,94.0,Standard,[314000.0],[0.08152526952086311],"[0.08152526952086311,94.0]"
T,290000.0,2013-06-28,N,LONDON,uk_property_full.csv,2013,Terraced,0.0,0.0,Standard,[290000.0],[0.05706427344239822],"[0.05706427344239822,0.0]"
T,320000.0,2013-11-12,N,SUTTON,uk_property_full.csv,2013,Terraced,0.0,127.0,Standard,[320000.0],[0.08764051854047933],"[0.08764051854047933,127.0]"
F,235000.0,2013-10-24,N,SUTTON,uk_property_full.csv,2013,,3.0,127.0,Standard,[235000.0],[0.0010078240959161835],"[0.0010078240959161835,127.0]"
D,492000.0,2013-09-04,N,WESTERHAM,uk_property_full.csv,2013,Detached,2.0,631.0,Premium,[492000.0],[0.2629443237694777],"[0.2629443237694777,631.0]"
S,248000.0,2013-06-12,N,LONDON,uk_property_full.csv,2013,Semi-Detached,1.0,0.0,Standard,[248000.0],[0.014257530305084665],"[0.014257530305084665,0.0]"
F,575000.0,2013-09-20,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Premium,[575000.0],[0.3475386018741688],"[0.3475386018741688,0.0]"
F,173000.0,2013-12-20,N,HORNCHURCH,uk_property_full.csv,2013,,3.0,221.0,Standard,[173000.0],[-0.062183082440118116],"[-0.062183082440118116,221.0]"
F,160000.0,2013-10-04,N,WOODFORD GREEN,uk_property_full.csv,2013,,3.0,406.0,Standard,[160000.0],[-0.0754327886492866],"[-0.0754327886492866,406.0]"
F,218000.0,2013-04-16,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[218000.0],[-0.016318714792996448],"[-0.016318714792996448,0.0]"
S,497500.0,2013-09-23,N,SOUTH CROYDON,uk_property_full.csv,2013,Semi-Detached,1.0,273.0,Premium,[497500.0],[0.26854996870412595],"[0.26854996870412595,273.0]"
F,355000.0,2013-09-05,Y,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[355000.0],[0.12331280448824063],"[0.12331280448824063,0.0]"
D,290000.0,2013-08-02,N,CARSHALTON,uk_property_full.csv,2013,Detached,2.0,383.0,Standard,[290000.0],[0.05706427344239822],"[0.05706427344239822,383.0]"
F,308000.0,2013-05-10,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[308000.0],[0.07541002050124689],"[0.07541002050124689,0.0]"
F,475000.0,2013-07-17,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Premium,[475000.0],[0.24561778488056507],"[0.24561778488056507,0.0]"
F,170000.0,2013-02-15,N,THORNTON HEATH,uk_property_full.csv,2013,,3.0,424.0,Standard,[170000.0],[-0.06524070694992623],"[-0.06524070694992623,424.0]"
D,1000000.0,2013-08-29,N,SURBITON,uk_property_full.csv,2013,Detached,2.0,223.0,Premium,[1000000.0],[0.7807020740969846],"[0.7807020740969846,223.0]"
F,180000.0,2013-12-02,N,HAYES,uk_property_full.csv,2013,,3.0,214.0,Standard,[180000.0],[-0.05504862525056586],"[-0.05504862525056586,214.0]"
T,575000.0,2013-07-26,N,LONDON,uk_property_full.csv,2013,Terraced,0.0,0.0,Premium,[575000.0],[0.3475386018741688],"[0.3475386018741688,0.0]"
F,1650000.0,2013-02-14,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Premium,[1650000.0],[1.4431873845554086],"[1.4431873845554086,0.0]"
F,645000.0,2013-07-30,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Premium,[645000.0],[0.4188831737696914],"[0.4188831737696914,0.0]"
F,218000.0,2013-09-02,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[218000.0],[-0.016318714792996448],"[-0.016318714792996448,0.0]"
F,346000.0,2013-04-10,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[346000.0],[0.11413993095881629],"[0.11413993095881629,0.0]"
F,313000.0,2013-06-28,Y,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[313000.0],[0.08050606135092707],"[0.08050606135092707,0.0]"
S,385000.0,2013-02-15,N,SUTTON,uk_property_full.csv,2013,Semi-Detached,1.0,127.0,Standard,[385000.0],[0.15388904958632174],"[0.15388904958632174,127.0]"
T,283995.0,2013-06-07,Y,BROMLEY,uk_property_full.csv,2013,Terraced,0.0,108.0,Standard,[283995.0],[0.05094392838193232],"[0.05094392838193232,108.0]"
T,425000.0,2013-07-19,N,BECKENHAM,uk_property_full.csv,2013,Terraced,0.0,230.0,Standard,[425000.0],[0.19465737638376324],"[0.19465737638376324,230.0]"
F,290000.0,2013-03-28,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[290000.0],[0.05706427344239822],"[0.05706427344239822,0.0]"
F,285000.0,2013-11-06,N,KINGSTON UPON THAMES,uk_property_full.csv,2013,,3.0,227.0,Standard,[285000.0],[0.05196823259271804],"[0.05196823259271804,227.0]"
F,490000.0,2013-10-25,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Premium,[490000.0],[0.2609059074296056],"[0.2609059074296056,0.0]"
F,825000.0,2013-09-27,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Premium,[825000.0],[0.602340644358178],"[0.602340644358178,0.0]"
F,150500.0,2013-08-30,N,UXBRIDGE,uk_property_full.csv,2013,,3.0,173.0,Standard,[150500.0],[-0.08511526626367895],"[-0.08511526626367895,173.0]"
F,280000.0,2013-10-25,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[280000.0],[0.046872191743037854],"[0.046872191743037854,0.0]"
T,240000.0,2013-01-25,N,LONDON,uk_property_full.csv,2013,Terraced,0.0,0.0,Standard,[240000.0],[0.006103864945596369],"[0.006103864945596369,0.0]"
T,250000.0,2013-09-19,N,LONDON,uk_property_full.csv,2013,Terraced,0.0,0.0,Standard,[250000.0],[0.01629594664495674],"[0.01629594664495674,0.0]"
F,600000.0,2013-06-07,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Premium,[600000.0],[0.3730188061225697],"[0.3730188061225697,0.0]"
S,393000.0,2013-05-17,N,HARROW,uk_property_full.csv,2013,Semi-Detached,1.0,94.0,Standard,[393000.0],[0.16204271494581005],"[0.16204271494581005,94.0]"
F,175000.0,2013-04-12,Y,CROYDON,uk_property_full.csv,2013,,3.0,75.0,Standard,[175000.0],[-0.06014466610024604],"[-0.06014466610024604,75.0]"
F,287000.0,2013-12-12,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[287000.0],[0.054006648932590114],"[0.054006648932590114,0.0]"
F,250000.0,2013-09-11,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[250000.0],[0.01629594664495674],"[0.01629594664495674,0.0]"
F,205000.0,2013-11-15,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[205000.0],[-0.02956842100216493],"[-0.02956842100216493,0.0]"
F,327500.0,2013-04-16,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[327500.0],[0.09528457981499962],"[0.09528457981499962,0.0]"
F,219000.0,2013-05-10,Y,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[219000.0],[-0.01529950662306041],"[-0.01529950662306041,0.0]"
F,260000.0,2013-09-20,Y,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[260000.0],[0.02648802834431711],"[0.02648802834431711,0.0]"
T,355000.0,2013-05-01,N,LONDON,uk_property_full.csv,2013,Terraced,0.0,0.0,Standard,[355000.0],[0.12331280448824063],"[0.12331280448824063,0.0]"
F,209995.0,2013-03-22,Y,HAYES,uk_property_full.csv,2013,,3.0,214.0,Standard,[209995.0],[-0.024477476193334423],"[-0.024477476193334423,214.0]"
F,246000.0,2013-06-19,Y,BECKENHAM,uk_property_full.csv,2013,,3.0,230.0,Standard,[246000.0],[0.01221911396521259],"[0.01221911396521259,230.0]"
F,499995.0,2013-05-14,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Premium,[499995.0],[0.27109289308811635],"[0.27109289308811635,0.0]"
F,320500.0,2013-01-03,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[320500.0],[0.08815012262544736],"[0.08815012262544736,0.0]"
T,182000.0,2013-12-18,N,ROMFORD,uk_property_full.csv,2013,Terraced,0.0,66.0,Standard,[182000.0],[-0.05301020891069378],"[-0.05301020891069378,66.0]"
F,385000.0,2013-09-03,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[385000.0],[0.15388904958632174],"[0.15388904958632174,0.0]"
F,327000.0,2013-05-01,N,BARNET,uk_property_full.csv,2013,,3.0,219.0,Standard,[327000.0],[0.09477497573003159],"[0.09477497573003159,219.0]"
S,760000.0,2013-10-29,N,LONDON,uk_property_full.csv,2013,Semi-Detached,1.0,0.0,Premium,[760000.0],[0.5360921133123356],"[0.5360921133123356,0.0]"
F,147500.0,2013-11-29,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Budget,[147500.0],[-0.08817289077348706],"[-0.08817289077348706,0.0]"
T,295000.0,2013-12-18,N,LONDON,uk_property_full.csv,2013,Terraced,0.0,0.0,Standard,[295000.0],[0.062160314292078404],"[0.062160314292078404,0.0]"
F,1250000.0,2013-12-20,Y,LONDON,uk_property_full.csv,2013,,3.0,0.0,Premium,[1250000.0],[1.0355041165809937],"[1.0355041165809937,0.0]"
F,183000.0,2013-12-20,N,UXBRIDGE,uk_property_full.csv,2013,,3.0,173.0,Standard,[183000.0],[-0.05199100074075774],"[-0.05199100074075774,173.0]"
F,482000.0,2013-08-28,N,STANMORE,uk_property_full.csv,2013,,3.0,500.0,Premium,[482000.0],[0.2527522420701173],"[0.2527522420701173,500.0]"
F,263000.0,2013-02-01,N,WORCESTER PARK,uk_property_full.csv,2013,,3.0,464.0,Standard,[263000.0],[0.02954565285412522],"[0.02954565285412522,464.0]"
F,489000.0,2013-10-25,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Premium,[489000.0],[0.2598866992596696],"[0.2598866992596696,0.0]"
T,230000.0,2013-11-29,N,BARKING,uk_property_full.csv,2013,Terraced,0.0,346.0,Standard,[230000.0],[-0.004088216753764002],"[-0.004088216753764002,346.0]"
F,370000.0,2013-09-27,Y,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[370000.0],[0.1386009270372812],"[0.1386009270372812,0.0]"
F,800000.0,2013-11-27,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Premium,[800000.0],[0.5768604401097771],"[0.5768604401097771,0.0]"
F,215000.0,2013-07-04,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[215000.0],[-0.01937633930280456],"[-0.01937633930280456,0.0]"
F,538852.0,2013-03-13,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Premium,[538852.0],[0.31069626494732094],"[0.31069626494732094,0.0]"
F,400000.0,2013-07-08,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[400000.0],[0.1691771721353623],"[0.1691771721353623,0.0]"
F,104000.0,2013-02-28,N,ENFIELD,uk_property_full.csv,2013,,3.0,88.0,Budget,[104000.0],[-0.13250844616570467],"[-0.13250844616570467,88.0]"
F,99000.0,2013-10-11,N,PINNER,uk_property_full.csv,2013,,3.0,351.0,Budget,[99000.0],[-0.13760448701538486],"[-0.13760448701538486,351.0]"
T,177000.0,2013-08-23,N,DAGENHAM,uk_property_full.csv,2013,Terraced,0.0,164.0,Standard,[177000.0],[-0.058106249760373964],"[-0.058106249760373964,164.0]"
T,297000.0,2013-11-08,N,CHISLEHURST,uk_property_full.csv,2013,Terraced,0.0,617.0,Standard,[297000.0],[0.06419873063195049],"[0.06419873063195049,617.0]"
F,458000.0,2013-08-30,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Premium,[458000.0],[0.22829124599165246],"[0.22829124599165246,0.0]"
S,575000.0,2013-12-05,N,KINGSTON UPON THAMES,uk_property_full.csv,2013,Semi-Detached,1.0,227.0,Premium,[575000.0],[0.3475386018741688],"[0.3475386018741688,227.0]"
T,318000.0,2013-03-20,N,RUISLIP,uk_property_full.csv,2013,Terraced,0.0,288.0,Standard,[318000.0],[0.08560210220060727],"[0.08560210220060727,288.0]"
T,700000.0,2013-02-01,N,LONDON,uk_property_full.csv,2013,Terraced,0.0,0.0,Premium,[700000.0],[0.47493962311617344],"[0.47493962311617344,0.0]"
F,185000.0,2013-03-08,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[185000.0],[-0.049952584400885666],"[-0.049952584400885666,0.0]"
T,685000.0,2013-05-23,N,LONDON,uk_property_full.csv,2013,Terraced,0.0,0.0,Premium,[685000.0],[0.4596515005671329],"[0.4596515005671329,0.0]"
F,150000.0,2013-09-17,N,WOODFORD GREEN,uk_property_full.csv,2013,,3.0,406.0,Standard,[150000.0],[-0.08562487034864696],"[-0.08562487034864696,406.0]"
F,1120000.0,2013-03-22,Y,LONDON,uk_property_full.csv,2013,,3.0,0.0,Premium,[1120000.0],[0.903007054489309],"[0.903007054489309,0.0]"
T,215000.0,2013-08-05,N,LONDON,uk_property_full.csv,2013,Terraced,0.0,0.0,Standard,[215000.0],[-0.01937633930280456],"[-0.01937633930280456,0.0]"
F,695000.0,2013-06-07,Y,LONDON,uk_property_full.csv,2013,,3.0,0.0,Premium,[695000.0],[0.46984358226649325],"[0.46984358226649325,0.0]"
F,250000.0,2013-09-26,N,FELTHAM,uk_property_full.csv,2013,,3.0,286.0,Standard,[250000.0],[0.01629594664495674],"[0.01629594664495674,286.0]"
F,495000.0,2013-11-01,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Premium,[495000.0],[0.2660019482792858],"[0.2660019482792858,0.0]"
T,1650000.0,2013-07-19,N,LONDON,uk_property_full.csv,2013,Terraced,0.0,0.0,Premium,[1650000.0],[1.4431873845554086],"[1.4431873845554086,0.0]"
S,270000.0,2013-05-24,N,BEXLEYHEATH,uk_property_full.csv,2013,Semi-Detached,1.0,321.0,Standard,[270000.0],[0.03668011004367748],"[0.03668011004367748,321.0]"
T,575000.0,2013-12-12,N,LONDON,uk_property_full.csv,2013,Terraced,0.0,0.0,Premium,[575000.0],[0.3475386018741688],"[0.3475386018741688,0.0]"
F,60000.0,2013-11-18,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Budget,[60000.0],[-0.1773536056428903],"[-0.1773536056428903,0.0]"
S,499999.0,2013-04-26,N,UPMINSTER,uk_property_full.csv,2013,Semi-Detached,1.0,556.0,Premium,[499999.0],[0.27109696992079607],"[0.27109696992079607,556.0]"
F,283000.0,2013-05-28,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[283000.0],[0.04992981625284596],"[0.04992981625284596,0.0]"
S,1512500.0,2013-03-28,N,RICHMOND,uk_property_full.csv,2013,Semi-Detached,1.0,185.0,Premium,[1512500.0],[1.3030462611892035],"[1.3030462611892035,185.0]"
F,600000.0,2013-08-01,N,RICHMOND,uk_property_full.csv,2013,,3.0,185.0,Premium,[600000.0],[0.3730188061225697],"[0.3730188061225697,185.0]"
F,163000.0,2013-05-15,N,KENLEY,uk_property_full.csv,2013,,3.0,875.0,Standard,[163000.0],[-0.07237516413947849],"[-0.07237516413947849,875.0]"
T,269950.0,2013-11-15,N,MITCHAM,uk_property_full.csv,2013,Terraced,0.0,311.0,Standard,[269950.0],[0.03662914963518068],"[0.03662914963518068,311.0]"
F,186500.0,2013-07-24,Y,HOUNSLOW,uk_property_full.csv,2013,,3.0,271.0,Standard,[186500.0],[-0.04842377214598161],"[-0.04842377214598161,271.0]"
F,385000.0,2013-04-24,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[385000.0],[0.15388904958632174],"[0.15388904958632174,0.0]"
F,420000.0,2013-10-17,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[420000.0],[0.18956133553408305],"[0.18956133553408305,0.0]"
F,355000.0,2013-08-29,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[355000.0],[0.12331280448824063],"[0.12331280448824063,0.0]"
F,175000.0,2013-07-31,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[175000.0],[-0.06014466610024604],"[-0.06014466610024604,0.0]"
F,117000.0,2013-05-08,N,TWICKENHAM,uk_property_full.csv,2013,,3.0,202.0,Budget,[117000.0],[-0.11925873995653619],"[-0.11925873995653619,202.0]"
S,553500.0,2013-04-16,N,LONDON,uk_property_full.csv,2013,Semi-Detached,1.0,0.0,Premium,[553500.0],[0.32562562622054403],"[0.32562562622054403,0.0]"
T,335000.0,2013-03-22,N,LONDON,uk_property_full.csv,2013,Terraced,0.0,0.0,Standard,[335000.0],[0.10292864108951989],"[0.10292864108951989,0.0]"
F,227000.0,2013-10-11,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[227000.0],[-0.007145841263572113],"[-0.007145841263572113,0.0]"
F,424950.0,2013-08-05,Y,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[424950.0],[0.19460641597526643],"[0.19460641597526643,0.0]"
F,430000.0,2013-08-15,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[430000.0],[0.19975341723344342],"[0.19975341723344342,0.0]"
F,227500.0,2013-04-29,N,WEST WICKHAM,uk_property_full.csv,2013,,3.0,705.0,Standard,[227500.0],[-0.006636237178604095],"[-0.006636237178604095,705.0]"
F,265000.0,2013-04-19,Y,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[265000.0],[0.0315840691939973],"[0.0315840691939973,0.0]"
T,370000.0,2013-12-16,N,WEMBLEY,uk_property_full.csv,2013,Terraced,0.0,240.0,Standard,[370000.0],[0.1386009270372812],"[0.1386009270372812,240.0]"
F,240500.0,2013-12-17,Y,CROYDON,uk_property_full.csv,2013,,3.0,75.0,Standard,[240500.0],[0.006613469030564387],"[0.006613469030564387,75.0]"
D,755000.0,2013-08-02,N,STANMORE,uk_property_full.csv,2013,Detached,2.0,500.0,Premium,[755000.0],[0.5309960724626555],"[0.5309960724626555,500.0]"
T,227500.0,2013-05-23,N,CROYDON,uk_property_full.csv,2013,Terraced,0.0,75.0,Standard,[227500.0],[-0.006636237178604095],"[-0.006636237178604095,75.0]"
T,222500.0,2013-10-11,N,BROMLEY,uk_property_full.csv,2013,Terraced,0.0,108.0,Standard,[222500.0],[-0.01173227802828428],"[-0.01173227802828428,108.0]"
F,175000.0,2013-08-01,N,SOUTH CROYDON,uk_property_full.csv,2013,,3.0,273.0,Standard,[175000.0],[-0.06014466610024604],"[-0.06014466610024604,273.0]"
F,140000.0,2013-05-08,N,HOUNSLOW,uk_property_full.csv,2013,,3.0,271.0,Budget,[140000.0],[-0.09581695204800733],"[-0.09581695204800733,271.0]"
F,267500.0,2013-07-26,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[267500.0],[0.03413208961883739],"[0.03413208961883739,0.0]"
F,740000.0,2013-07-16,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Premium,[740000.0],[0.5157079499136149],"[0.5157079499136149,0.0]"
F,285000.0,2013-11-01,Y,KINGSTON UPON THAMES,uk_property_full.csv,2013,,3.0,227.0,Standard,[285000.0],[0.05196823259271804],"[0.05196823259271804,227.0]"
F,122000.0,2013-07-17,N,ERITH,uk_property_full.csv,2013,,3.0,419.0,Budget,[122000.0],[-0.114162699106856],"[-0.114162699106856,419.0]"
F,180000.0,2013-12-11,Y,ILFORD,uk_property_full.csv,2013,,3.0,81.0,Standard,[180000.0],[-0.05504862525056586],"[-0.05504862525056586,81.0]"
F,365000.0,2013-10-11,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[365000.0],[0.133504886187601],"[0.133504886187601,0.0]"
F,172000.0,2013-11-27,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[172000.0],[-0.06320229061005415],"[-0.06320229061005415,0.0]"
S,320000.0,2013-09-02,N,COULSDON,uk_property_full.csv,2013,Semi-Detached,1.0,489.0,Standard,[320000.0],[0.08764051854047933],"[0.08764051854047933,489.0]"
F,195000.0,2013-07-22,N,BROMLEY,uk_property_full.csv,2013,,3.0,108.0,Standard,[195000.0],[-0.0397605027015253],"[-0.0397605027015253,108.0]"
F,243000.0,2013-11-28,N,HARROW,uk_property_full.csv,2013,,3.0,94.0,Standard,[243000.0],[0.00916148945540448],"[0.00916148945540448,94.0]"
S,300000.0,2013-02-04,N,ENFIELD,uk_property_full.csv,2013,Semi-Detached,1.0,88.0,Standard,[300000.0],[0.0672563551417586],"[0.0672563551417586,88.0]"
